event_id,name,start_time,end_time,description,venue,city,category,ticket_classes,duration,genre,price
1,Rock Concert Extravaganza,2024-01-15 19:30:00,2024-01-15 23:00:00,Get ready for an epic night of rock music from top bands!,Zetra Olympic Hall,Sarajevo,concert,General Admission:35.0 BAM,VIP:75.0 BAM,3,Rock,35.00 BAM
2,Football Championship,2024-01-20 18:00:00,2024-01-20 22:00:00,Witness the intense battle for the football championship title!,Sports Stadium,Sarajevo,sports,Standard:25.0 BAM,Premium:50.0 BAM,4,Sports,25.00 BAM
3,Art Exhibition: Modern Masterpieces,2024-01-25 14:00:00,2024-01-25 18:00:00,Explore a stunning collection of modern artworks from renowned artists.,Art Gallery,Sarajevo,art,General Admission:15.0 BAM,,4,Visual Arts,15.00 BAM
4,Tech Conference 2024,2024-02-05 09:00:00,2024-02-05 17:00:00,Join industry experts for the latest insights and trends in technology.,Convention Center,Sarajevo,business,Conference Pass:200.0 BAM,Workshop Pass:300.0 BAM,8,Technology,200.00 BAM
5,Movie Night Under the Stars,2024-02-10 19:00:00,2024-02-10 22:00:00,Enjoy a magical night with your favorite movies under the open sky.,City Park,Sarajevo,party,General Admission:10.0 BAM,VIP:20.0 BAM,3,Film,10.00 BAM
6,Fitness Challenge: 5K Run,2024-02-15 08:00:00,2024-02-15 11:00:00,Participate in a thrilling 5K run and embrace a healthy lifestyle.,Zetra Olympic Park,Sarajevo,sports,Runner Pass:20.0 BAM,VIP Runner:40.0 BAM,3,Health & Fitness,20.00 BAM
7,Jazz Night at The Lounge,2024-02-20 20:00:00,2024-02-20 23:00:00,Immerse yourself in the smooth sounds of jazz with live performances.,The Lounge,Sarajevo,concert,General Admission:30.0 BAM,VIP:60.0 BAM,3,Jazz,30.00 BAM
8,Book Club Meeting: Bestsellers Edition,2024-02-25 18:30:00,2024-02-25 20:30:00,Discuss and explore the latest bestsellers with fellow book enthusiasts.,Dom Mladih,Sarajevo,conference,Free Entry:0.0 BAM,,2,Literature,0.00 BAM
9,Science and Technology Expo,2024-03-05 10:00:00,2024-03-05 16:00:00,Discover groundbreaking innovations in science and technology.,Exhibition Center,Mostar,conference,Expo Pass:25.0 BAM,VIP Access:50.0 BAM,6,Science & Technology,25.00 BAM
10,Food Festival: Culinary Delights,2024-03-10 12:00:00,2024-03-10 20:00:00,Savor a diverse range of culinary delights from local and international chefs.,Bazaar Square,Mostar,party,Tasting Pass:15.0 BAM,Gourmet Experience:40.0 BAM,8,Culinary,15.00 BAM
